"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 29 17:42:10 IST 2023","Wed Mar 29 17:42:14 IST 2023","4503","","Login functionality for bynder application","","","","2. Verify Login with invalid credentials",""
"passed","Wed Mar 29 17:41:52 IST 2023","Wed Mar 29 17:42:10 IST 2023","17360","","Login functionality for bynder application","","","","1. Validate Login with valid credentials",""
